kk;pv;h;;"Ulkoilma
lämpöt.
°C";"Ulkoilma
absol.
kosteus
g/kg";"Ulkoilma
suht.
kosteus
%";"Ulkoilma
entalpia
kJ/kg";"Lämmitys
tiloissa
W";"Lämmitys
IV-kone
W";"Lämmitys
IV-kone
(ei LTO:ta)
W";"Jäähdytys
tiloissa
W";"Jäähdytys
tiloissa
(ei vapaajäähd.)
W";"Jäähdytys
IV-kone
W";"Puhallin-
sähkö
W";"Tuloilma-
virta
m³/s";IV-pyörimisnopeus
1;1;1;ma;-7,8;1,7;81,1;-3,62;56990;0;0;0;0;0;1352;0,9;75
1;1;2;ma;-8,3;1,7;84,4;-4,124;57784;0;0;0;0;0;1352;0,9;75
1;1;3;ma;-8,9;1,6;83,3;-4,978;58767;0;0;0;0;0;1352;0,9;75
1;1;4;ma;-9,4;1,5;81,3;-5,731;59715;0;0;0;0;0;1352;0,9;75
1;1;5;ma;-9,4;1,5;81,3;-5,731;59729;0;0;0;0;0;1352;0,9;75
1;1;6;ma;-10;1,5;85,3;-6,336;60575;0;0;0;0;0;1352;0,9;75
1;1;7;ma;-10;1,5;85,3;-6,336;60644;0;0;0;0;0;1352;0,9;75
1;1;8;ma;-10;1,5;85,3;-6,336;60567;0;0;0;0;0;1352;0,9;75
1;1;9;ma;-10;1,5;85,3;-6,336;60559;0;0;0;0;0;1352;0,9;75
1;1;10;ma;-10;1,5;85,3;-6,336;60557;0;0;0;0;0;1352;0,9;75
1;1;11;ma;-9,4;1,5;81,3;-5,731;59640;0;0;0;0;0;1352;0,9;75
1;1;12;ma;-9,4;1,6;86,7;-5,483;59554;0;0;0;0;0;1352;0,9;75
1;1;13;ma;-8,9;1,6;83,3;-4,978;58697;0;0;0;0;0;1352;0,9;75
1;1;14;ma;-8,9;1,7;88,5;-4,73;58613;0;0;0;0;0;1352;0,9;75
1;1;15;ma;-8,9;1,7;88,5;-4,73;58664;0;0;0;0;0;1352;0,9;75
1;1;16;ma;-8,9;1,6;83,3;-4,978;58665;0;0;0;0;0;1352;0,9;75
1;1;17;ma;-9,4;1,6;86,7;-5,483;59584;0;0;0;0;0;1352;0,9;75
1;1;18;ma;-9,4;1,5;81,3;-5,731;59668;0;0;0;0;0;1352;0,9;75
1;1;19;ma;-10;1,5;85,3;-6,336;60596;0;0;0;0;0;1352;0,9;75
1;1;20;ma;-10,6;1,4;83,5;-7,19;61619;0;0;0;0;0;1352;0,9;75
1;1;21;ma;-11,1;1,3;80,8;-7,942;62659;0;0;0;0;0;1352;0,9;75
1;1;22;ma;-11,7;1,3;84,8;-8,547;63713;0;0;0;0;0;1352;0,9;75
1;1;23;ma;-12,2;1,2;81,6;-9,299;64792;0;0;0;0;0;1352;0,9;75
1;1;24;ma;-13,3;1,1;81,9;-10,656;66823;0;0;0;0;0;1352;0,9;75
1;2;1;ti;-13,9;1;78,3;-11,508;67967;0;0;0;0;0;1352;0,9;75
1;2;2;ti;-15;0,9;77,2;-12,864;55970;0;0;0;0;0;792;0,6;50
1;2;3;ti;-16,1;0,8;75,3;-14,22;57571;0;0;0;0;0;792;0,6;50
1;2;4;ti;-16,7;0,8;79,3;-14,824;58580;0;0;0;0;0;792;0,6;50
1;2;5;ti;-17,8;0,7;76,3;-16,179;60266;0;0;0;0;0;792;0,6;50
1;2;6;ti;-18,3;0,6;68,2;-16,93;61346;0;0;0;0;0;792;0,6;50
1;2;7;ti;-18,3;0,6;68,2;-16,93;61771;0;0;0;0;0;792;0,6;50
1;2;8;ti;-17,8;0,7;76,3;-16,179;61298;0;0;0;0;0;792;0,6;50
1;2;9;ti;-17,2;0,7;72,4;-15,575;60853;0;0;0;0;0;792;0,6;50
1;2;10;ti;-16,7;0,8;79,3;-14,824;60299;0;0;0;0;0;792;0,6;50
1;2;11;ti;-16,7;0,8;79,3;-14,824;60451;0;0;0;0;0;792;0,6;50
1;2;12;ti;-16,7;0,8;79,3;-14,824;60659;0;0;0;0;0;792;0,6;50
1;2;13;ti;-15;0,9;77,2;-12,864;58694;0;0;0;0;0;792;0,6;50
1;2;14;ti;-13,9;1;78,3;-11,508;70973;0;0;0;0;0;1352;0,9;75
1;2;15;ti;-12,2;1,2;81,6;-9,299;68130;0;0;0;0;0;1352;0,9;75
1;2;16;ti;-11,7;1,2;78,3;-8,795;66997;0;0;0;0;0;1352;0,9;75
1;2;17;ti;-11,7;1,3;84,8;-8,547;66935;0;0;0;0;0;1352;0,9;75
1;2;18;ti;-11,1;1,3;80,8;-7,942;66001;0;0;0;0;0;1352;0,9;75
1;2;19;ti;-10,6;1,4;83,5;-7,19;64905;0;0;0;0;0;1352;0,9;75
1;2;20;ti;-10,6;1,4;83,5;-7,19;64705;0;0;0;0;0;1352;0,9;75
1;2;21;ti;-10,6;1,4;83,5;-7,19;64622;0;0;0;0;0;1352;0,9;75
1;2;22;ti;-10;1,5;85,3;-6,336;63600;0;0;0;0;0;1352;0,9;75
1;2;23;ti;-10;1,5;85,3;-6,336;63470;0;0;0;0;0;1352;0,9;75
1;2;24;ti;-10;1,5;85,3;-6,336;63415;0;0;0;0;0;1352;0,9;75
1;3;1;ke;-10;1,5;85,3;-6,336;63274;0;0;0;0;0;1352;0,9;75
1;3;2;ke;-9,4;1,5;81,3;-5,731;62192;0;0;0;0;0;1352;0,9;75
1;3;3;ke;-9,4;1,5;81,3;-5,731;61995;0;0;0;0;0;1352;0,9;75
1;3;4;ke;-10;1,5;85,3;-6,336;62803;0;0;0;0;0;1352;0,9;75
1;3;5;ke;-10;1,4;79,6;-6,584;62783;0;0;0;0;0;1352;0,9;75
1;3;6;ke;-10,6;1,4;83,5;-7,19;63613;0;0;0;0;0;1352;0,9;75
1;3;7;ke;-10,6;1,4;83,5;-7,19;63614;0;0;0;0;0;1352;0,9;75
1;3;8;ke;-10,6;1,4;83,5;-7,19;63542;0;0;0;0;0;1352;0,9;75
1;3;9;ke;-10,6;1,4;83,5;-7,19;63477;0;0;0;0;0;1352;0,9;75
1;3;10;ke;-10,6;1,4;83,5;-7,19;63419;0;0;0;0;0;1352;0,9;75
1;3;11;ke;-10,6;1,4;83,5;-7,19;63367;0;0;0;0;0;1352;0,9;75
1;3;12;ke;-10,6;1,4;83,5;-7,19;63320;0;0;0;0;0;1352;0,9;75
1;3;13;ke;-10;1,5;85,3;-6,336;62344;0;0;0;0;0;1352;0,9;75
1;3;14;ke;-9,4;1,5;81,3;-5,731;61286;0;0;0;0;0;1352;0,9;75
1;3;15;ke;-9,4;1,6;86,7;-5,483;61143;0;0;0;0;0;1352;0,9;75
1;3;16;ke;-9,4;1,6;86,7;-5,483;61079;0;0;0;0;0;1352;0,9;75
1;3;17;ke;-9,4;1,6;86,7;-5,483;61067;0;0;0;0;0;1352;0,9;75
1;3;18;ke;-8,9;1,6;83,3;-4,978;60123;0;0;0;0;0;1352;0,9;75
1;3;19;ke;-8,3;1,7;84,4;-4,124;59012;0;0;0;0;0;1352;0,9;75
1;3;20;ke;-7,8;1,8;85,9;-3,371;57881;0;0;0;0;0;1352;0,9;75
1;3;21;ke;-8,3;1,7;84,4;-4,124;58629;0;0;0;0;0;1352;0,9;75
1;3;22;ke;-8,3;1,7;84,4;-4,124;58607;0;0;0;0;0;1352;0,9;75
1;3;23;ke;-8,3;1,8;89,3;-3,876;58510;0;0;0;0;0;1352;0,9;75
1;3;24;ke;-7,8;1,8;85,9;-3,371;57495;0;0;0;0;0;1352;0,9;75
1;4;1;to;-7,8;1,8;85,9;-3,371;57322;0;0;0;0;0;1352;0,9;75
1;4;2;to;-7,8;1,9;90,7;-3,122;57220;0;0;0;0;0;1352;0,9;75
1;4;3;to;-7,8;1,9;90,7;-3,122;57124;0;0;0;0;0;1352;0,9;75
1;4;4;to;-7,8;1,9;90,7;-3,122;56978;0;0;0;0;0;1352;0,9;75
1;4;5;to;-7,8;1,9;90,7;-3,122;56881;0;0;0;0;0;1352;0,9;75
1;4;6;to;-7,2;1,9;86,5;-2,517;55812;0;0;0;0;0;1352;0,9;75
1;4;7;to;-7,2;1,9;86,5;-2,517;55635;0;0;0;0;0;1352;0,9;75
1;4;8;to;-7,8;1,9;90,7;-3,122;56455;0;0;0;0;0;1352;0,9;75
1;4;9;to;-7,8;1,9;90,7;-3,122;56442;0;0;0;0;0;1352;0,9;75
1;4;10;to;-7,2;1,9;86,5;-2,517;55448;0;0;0;0;0;1352;0,9;75
1;4;11;to;-7,2;1,9;86,5;-2,517;55294;0;0;0;0;0;1352;0,9;75
1;4;12;to;-7,2;1,9;86,5;-2,517;55214;0;0;0;0;0;1352;0,9;75
1;4;13;to;-7,2;1,9;86,5;-2,517;55080;0;0;0;0;0;1352;0,9;75
1;4;14;to;-7,2;2;91;-2,268;54996;0;0;0;0;0;1352;0,9;75
1;4;15;to;-7,2;2;91;-2,268;54859;0;0;0;0;0;1352;0,9;75
1;4;16;to;-6,7;2;87,5;-1,763;53929;0;0;0;0;0;1352;0,9;75
1;4;17;to;-6,7;2,1;91,9;-1,514;53781;0;0;0;0;0;1352;0,9;75
1;4;18;to;-6,7;2,1;91,9;-1,514;53765;0;0;0;0;0;1352;0,9;75
1;4;19;to;-6,1;2,2;91,9;-0,659;52788;0;0;0;0;0;1352;0,9;75
1;4;20;to;-6,1;2,2;91,9;-0,659;52651;0;0;0;0;0;1352;0,9;75
1;4;21;to;-6,1;2,1;87,7;-0,908;52585;0;0;0;0;0;1352;0,9;75
1;4;22;to;-6,1;2,1;87,7;-0,908;52514;0;0;0;0;0;1352;0,9;75
1;4;23;to;-6,1;2,2;91,9;-0,659;52441;0;0;0;0;0;1352;0,9;75
1;4;24;to;-5,6;2,3;92,4;0,095;51455;0;0;0;0;0;1352;0,9;75
1;5;1;pe;-5,6;2,3;92,4;0,095;51351;0;0;0;0;0;1352;0,9;75
1;5;2;pe;-5;2,4;92;0,95;50361;0;0;0;0;0;1352;0,9;75
1;5;3;pe;-5;2,4;92;0,95;50251;0;0;0;0;0;1352;0,9;75
1;5;4;pe;-5;2,4;92;0,95;50170;0;0;0;0;0;1352;0,9;75
1;5;5;pe;-5;2,4;92;0,95;50087;0;0;0;0;0;1352;0,9;75
1;5;6;pe;-5;2,4;92;0,95;50002;0;0;0;0;0;1352;0,9;75
1;5;7;pe;-5;2,4;92;0,95;49917;0;0;0;0;0;1352;0,9;75
1;5;8;pe;-5;2,4;92;0,95;49833;0;0;0;0;0;1352;0,9;75
1;5;9;pe;-5;2,4;92;0,95;49751;0;0;0;0;0;1352;0,9;75
1;5;10;pe;-5;2,4;92;0,95;49671;0;0;0;0;0;1352;0,9;75
1;5;11;pe;-5;2,4;92;0,95;49593;0;0;0;0;0;1352;0,9;75
1;5;12;pe;-5;2,4;92;0,95;49519;0;0;0;0;0;1352;0,9;75
1;5;13;pe;-4,4;2,4;87,9;1,556;48533;0;0;0;0;0;1352;0,9;75
1;5;14;pe;-4,4;2,5;91,6;1,806;48389;0;0;0;0;0;1352;0,9;75
1;5;15;pe;-4,4;2,5;91,6;1,806;48311;0;0;0;0;0;1352;0,9;75
1;5;16;pe;-4,4;2,5;91,6;1,806;48235;0;0;0;0;0;1352;0,9;75
1;5;17;pe;-3,9;2,6;91,7;2,56;47244;0;0;0;0;0;1352;0,9;75
1;5;18;pe;-3,9;2,6;91,7;2,56;47099;0;0;0;0;0;1352;0,9;75
1;5;19;pe;-3,9;2,7;95,2;2,81;46978;0;0;0;0;0;1352;0,9;75
1;5;20;pe;-3,3;2,7;90,9;3,416;45981;0;0;0;0;0;1352;0,9;75
1;5;21;pe;-3,3;2,7;90,9;3,416;45793;0;0;0;0;0;1352;0,9;75
1;5;22;pe;-3,3;2,8;94,3;3,666;45689;0;0;0;0;0;1352;0,9;75
1;5;23;pe;-3,3;2,8;94,3;3,666;45586;0;0;0;0;0;1352;0,9;75
1;5;24;pe;-3,3;2,8;94,3;3,666;45491;0;0;0;0;0;1352;0,9;75
1;6;1;la;-3,3;2,8;94,3;3,666;45401;0;0;0;0;0;1352;0,9;75
1;6;2;la;-3,3;2,8;94,3;3,666;45316;0;0;0;0;0;1352;0,9;75
1;6;3;la;-3,3;2,8;94,3;3,666;45235;0;0;0;0;0;1352;0,9;75
1;6;4;la;-2,8;2,9;94;4,421;44251;0;0;0;0;0;1352;0,9;75
1;6;5;la;-2,8;2,9;94;4,421;44110;0;0;0;0;0;1352;0,9;75
1;6;6;la;-2,8;3;97,3;4,671;44146;0;0;0;0;0;1352;0,9;75
1;6;7;la;-2,2;3,1;96,1;5,527;43160;0;0;0;0;0;1352;0,9;75
1;6;8;la;-2,8;3;97,3;4,671;43925;0;0;0;0;0;1352;0,9;75
1;6;9;la;-3,3;2,8;94,3;3,666;44704;0;0;0;0;0;1352;0,9;75
1;6;10;la;-3,3;2,8;94,3;3,666;44699;0;0;0;0;0;1352;0,9;75
1;6;11;la;-3,3;2,8;94,3;3,666;44643;0;0;0;0;0;1352;0,9;75
1;6;12;la;-3,3;2,7;90,9;3,416;44596;0;0;0;0;0;1352;0,9;75
1;6;13;la;-3,9;2,7;95,2;2,81;45455;0;0;0;0;0;1352;0,9;75
1;6;14;la;-3,9;2,6;91,7;2,56;45489;0;0;0;0;0;1352;0,9;75
1;6;15;la;-3,9;2,6;91,7;2,56;45465;0;0;0;0;0;1352;0,9;75
1;6;16;la;-4,4;2,6;95,2;2,055;46351;0;0;0;0;0;1352;0,9;75
1;6;17;la;-4,4;2,6;95,2;2,055;46409;0;0;0;0;0;1352;0,9;75
1;6;18;la;-4,4;2,6;95,2;2,055;46410;0;0;0;0;0;1352;0,9;75
1;6;19;la;-4,4;2,6;95,2;2,055;46414;0;0;0;0;0;1352;0,9;75
1;6;20;la;-4,4;2,6;95,2;2,055;46422;0;0;0;0;0;1352;0,9;75
1;6;21;la;-4,4;2,5;91,6;1,806;46435;0;0;0;0;0;1352;0,9;75
1;6;22;la;-4,4;2,6;95,2;2,055;46443;0;0;0;0;0;1352;0,9;75
1;6;23;la;-3,9;2,7;95,2;2,81;45545;0;0;0;0;0;1352;0,9;75
1;6;24;la;-3,9;2,7;95,2;2,81;45485;0;0;0;0;0;1352;0,9;75
1;7;1;su;-3,3;2,8;94,3;3,666;44614;0;0;0;0;0;1352;0,9;75
1;7;2;su;-3,9;2,7;95,2;2,81;45458;0;0;0;0;0;1352;0,9;75
1;7;3;su;-3,9;2,6;91,7;2,56;45557;0;0;0;0;0;1352;0,9;75
1;7;4;su;-4,4;2,6;95,2;2,055;46436;0;0;0;0;0;1352;0,9;75
1;7;5;su;-4,4;2,6;95,2;2,055;46506;0;0;0;0;0;1352;0,9;75
1;7;6;su;-4,4;2,5;91,6;1,806;46473;0;0;0;0;0;1352;0,9;75
1;7;7;su;-5;2,3;88,2;0,701;47388;0;0;0;0;0;1352;0,9;75
1;7;8;su;-6,1;2,2;91,9;-0,659;49287;0;0;0;0;0;1352;0,9;75
1;7;9;su;-6,7;2;87,5;-1,763;50381;0;0;0;0;0;1352;0,9;75
1;7;10;su;-7,2;1,9;86,5;-2,517;51426;0;0;0;0;0;1352;0,9;75
1;7;11;su;-8,3;1,8;89,3;-3,876;53406;0;0;0;0;0;1352;0,9;75
1;7;12;su;-8,9;1,7;88,5;-4,73;54581;0;0;0;0;0;1352;0,9;75
1;7;13;su;-9,4;1,6;86,7;-5,483;55706;0;0;0;0;0;1352;0,9;75
1;7;14;su;-9,4;1,6;86,7;-5,483;55894;0;0;0;0;0;1352;0,9;75
1;7;15;su;-8,9;1,7;88,5;-4,73;55146;0;0;0;0;0;1352;0,9;75
1;7;16;su;-8,3;1,7;84,4;-4,124;54298;0;0;0;0;0;1352;0,9;75
1;7;17;su;-8,3;1,8;89,3;-3,876;54352;0;0;0;0;0;1352;0,9;75
1;7;18;su;-8,3;1,8;89,3;-3,876;54480;0;0;0;0;0;1352;0,9;75
1;7;19;su;-7,8;1,9;90,7;-3,122;53683;0;0;0;0;0;1352;0,9;75
1;7;20;su;-7,2;2;91;-2,268;52797;0;0;0;0;0;1352;0,9;75
1;7;21;su;-6,7;2;87,5;-1,763;51898;0;0;0;0;0;1352;0,9;75
1;7;22;su;-6,1;2,1;87,7;-0,908;51031;0;0;0;0;0;1352;0,9;75
1;7;23;su;-6,1;2,2;91,9;-0,659;51013;0;0;0;0;0;1352;0,9;75
1;7;24;su;-5,6;2,3;92,4;0,095;50178;0;0;0;0;0;1352;0,9;75
1;8;1;ma;-5;2,3;88,2;0,701;49180;0;0;0;0;0;1352;0,9;75
1;8;2;ma;-5;2,4;92;0,95;49108;0;0;0;0;0;1352;0,9;75
1;8;3;ma;-5;2,4;92;0,95;49045;0;0;0;0;0;1352;0,9;75
1;8;4;ma;-4,4;2,4;87,9;1,556;48148;0;0;0;0;0;1352;0,9;75
1;8;5;ma;-3,9;2,5;88,1;2,311;47130;0;0;0;0;0;1352;0,9;75
1;8;6;ma;-4,4;2,4;87,9;1,556;47954;0;0;0;0;0;1352;0,9;75
1;8;7;ma;-4,4;2,4;87,9;1,556;47970;0;0;0;0;0;1352;0,9;75
1;8;8;ma;-5;2,3;88,2;0,701;48864;0;0;0;0;0;1352;0,9;75
1;8;9;ma;-5;2,3;88,2;0,701;48916;0;0;0;0;0;1352;0,9;75
1;8;10;ma;-5,6;2,2;88,4;-0,154;49780;0;0;0;0;0;1352;0,9;75
1;8;11;ma;-5,6;2,2;88,4;-0,154;49793;0;0;0;0;0;1352;0,9;75
1;8;12;ma;-5,6;2,2;88,4;-0,154;49778;0;0;0;0;0;1352;0,9;75
1;8;13;ma;-6,1;2,2;91,9;-0,659;50676;0;0;0;0;0;1352;0,9;75
1;8;14;ma;-6,1;2,1;87,7;-0,908;50700;0;0;0;0;0;1352;0,9;75
1;8;15;ma;-6,7;2;87,5;-1,763;51643;0;0;0;0;0;1352;0,9;75
1;8;16;ma;-6,7;2;87,5;-1,763;51728;0;0;0;0;0;1352;0,9;75
1;8;17;ma;-6,7;2;87,5;-1,763;51750;0;0;0;0;0;1352;0,9;75
1;8;18;ma;-6,7;2;87,5;-1,763;51776;0;0;0;0;0;1352;0,9;75
1;8;19;ma;-6,7;1,9;83,2;-2,012;51807;0;0;0;0;0;1352;0,9;75
1;8;20;ma;-6,7;1,9;83,2;-2,012;51887;0;0;0;0;0;1352;0,9;75
1;8;21;ma;-6,7;1,9;83,2;-2,012;51959;0;0;0;0;0;1352;0,9;75
1;8;22;ma;-6,7;2;87,5;-1,763;51923;0;0;0;0;0;1352;0,9;75
1;8;23;ma;-7,2;1,9;86,5;-2,517;52824;0;0;0;0;0;1352;0,9;75
1;8;24;ma;-7,8;1,8;85,9;-3,371;53788;0;0;0;0;0;1352;0,9;75
1;9;1;ti;-7,8;1,8;85,9;-3,371;53898;0;0;0;0;0;1352;0,9;75
1;9;2;ti;-7,8;1,8;85,9;-3,371;53940;0;0;0;0;0;1352;0,9;75
1;9;3;ti;-8,3;1,8;89,3;-3,876;54901;0;0;0;0;0;1352;0,9;75
1;9;4;ti;-8,3;1,7;84,4;-4,124;55039;0;0;0;0;0;1352;0,9;75
1;9;5;ti;-8,9;1,6;83,3;-4,978;56025;0;0;0;0;0;1352;0,9;75
1;9;6;ti;-9,4;1,6;86,7;-5,483;57096;0;0;0;0;0;1352;0,9;75
1;9;7;ti;-10;1,5;85,3;-6,336;58112;0;0;0;0;0;1352;0,9;75
1;9;8;ti;-10,6;1,4;83,5;-7,19;59210;0;0;0;0;0;1352;0,9;75
1;9;9;ti;-11,7;1,3;84,8;-8,547;61177;0;0;0;0;0;1352;0,9;75
1;9;10;ti;-11,1;1,3;80,8;-7,942;60620;0;0;0;0;0;1352;0,9;75
1;9;11;ti;-11,1;1,4;87;-7,694;60666;0;0;0;0;0;1352;0,9;75
1;9;12;ti;-10,6;1,4;83,5;-7,19;59963;0;0;0;0;0;1352;0,9;75
1;9;13;ti;-11,7;1,3;84,8;-8,547;61836;0;0;0;0;0;1352;0,9;75
1;9;14;ti;-12,2;1,1;74,8;-9,547;63037;0;0;0;0;0;1352;0,9;75
1;9;15;ti;-13,3;1;74,5;-10,903;65206;0;0;0;0;0;1352;0,9;75
1;9;16;ti;-14,4;0,9;73,4;-12,259;67335;0;0;0;0;0;1352;0,9;75
1;9;17;ti;-16,1;0,8;75,3;-14,22;55957;0;0;0;0;0;792;0,6;50
1;9;18;ti;-17,2;0,7;72,4;-15,575;57720;0;0;0;0;0;792;0,6;50
1;9;19;ti;-18,9;0,6;71,9;-17,534;60365;0;0;0;0;0;792;0,6;50
1;9;20;ti;-20,6;0,5;69,6;-19,492;63034;0;0;0;0;0;792;0,6;50
1;9;21;ti;-22,8;0,4;67,8;-21,953;66624;0;0;0;0;0;792;0,6;50
1;9;22;ti;-22,2;0,4;64,2;-21,349;66497;0;0;0;0;0;792;0,6;50
1;9;23;ti;-21,7;0,4;61,4;-20,846;66098;0;0;0;0;0;792;0,6;50
1;9;24;ti;-21,1;0,5;72,7;-19,996;65537;0;0;0;0;0;792;0,6;50
1;10;1;ke;-21,7;0,5;76,7;-20,6;66645;0;0;0;0;0;792;0,6;50
1;10;2;ke;-21,7;0,4;61,4;-20,846;67114;0;0;0;0;0;792;0,6;50
1;10;3;ke;-22,2;0,4;64,2;-21,349;68344;0;0;0;0;0;792;0,6;50
1;10;4;ke;-21,7;0,4;61,4;-20,846;68220;0;0;0;0;0;792;0,6;50
1;10;5;ke;-21,1;0,5;72,7;-19,996;67894;0;0;0;0;0;792;0,6;50
1;10;6;ke;-21,1;0,5;72,7;-19,996;68356;0;0;0;0;0;792;0,6;50
1;10;7;ke;-22,8;0,4;67,8;-21,953;70821;0;0;0;0;0;792;0,6;50
1;10;8;ke;-24,4;0,4;78,4;-23,564;73505;0;0;0;0;0;792;0,6;50
1;10;9;ke;-23,3;0,4;70,9;-22,457;72671;0;0;0;0;0;792;0,6;50
1;10;10;ke;-21,7;0,5;76,7;-20,6;70645;0;0;0;0;0;792;0,6;50
1;10;11;ke;-20,6;0,5;69,6;-19,492;69244;0;0;0;0;0;792;0,6;50
1;10;12;ke;-19,4;0,6;75,1;-18,037;67881;0;0;0;0;0;792;0,6;50
1;10;13;ke;-18,3;0,6;68,2;-16,93;66459;0;0;0;0;0;792;0,6;50
1;10;14;ke;-17,2;0,7;72,4;-15,575;65049;0;0;0;0;0;792;0,6;50
1;10;15;ke;-16,1;0,8;75,3;-14,22;63696;0;0;0;0;0;792;0,6;50
1;10;16;ke;-15,6;0,8;72,2;-13,716;62914;0;0;0;0;0;792;0,6;50
1;10;17;ke;-15,6;0,8;72,2;-13,716;62937;0;0;0;0;0;792;0,6;50
1;10;18;ke;-15;0,9;77,2;-12,864;62269;0;0;0;0;0;792;0,6;50
1;10;19;ke;-15;0,9;77,2;-12,864;62190;0;0;0;0;0;792;0,6;50
1;10;20;ke;-14,4;0,9;73,4;-12,259;75348;0;0;0;0;0;1352;0,9;75
1;10;21;ke;-14,4;0,9;73,4;-12,259;75195;0;0;0;0;0;1352;0,9;75
1;10;22;ke;-14,4;0,9;73,4;-12,259;75080;0;0;0;0;0;1352;0,9;75
1;10;23;ke;-13,9;1;78,3;-11,508;73998;0;0;0;0;0;1352;0,9;75
1;10;24;ke;-13,9;1;78,3;-11,508;73803;0;0;0;0;0;1352;0,9;75
1;11;1;to;-13,9;1;78,3;-11,508;73698;0;0;0;0;0;1352;0,9;75
1;11;2;to;-14,4;0,9;73,4;-12,259;74591;0;0;0;0;0;1352;0,9;75
1;11;3;to;-14,4;0,9;73,4;-12,259;74646;0;0;0;0;0;1352;0,9;75
1;11;4;to;-14,4;0,9;73,4;-12,259;74474;0;0;0;0;0;1352;0,9;75
1;11;5;to;-14,4;0,9;73,4;-12,259;74332;0;0;0;0;0;1352;0,9;75
1;11;6;to;-14,4;0,9;73,4;-12,259;74178;0;0;0;0;0;1352;0,9;75
1;11;7;to;-14,4;0,9;73,4;-12,259;74093;0;0;0;0;0;1352;0,9;75
1;11;8;to;-15;0,9;77,2;-12,864;60845;0;0;0;0;0;792;0,6;50
1;11;9;to;-15;0,9;77,2;-12,864;60849;0;0;0;0;0;792;0,6;50
1;11;10;to;-14,4;0,9;73,4;-12,259;73997;0;0;0;0;0;1352;0,9;75
1;11;11;to;-14,4;0,9;73,4;-12,259;73847;0;0;0;0;0;1352;0,9;75
1;11;12;to;-13,9;1;78,3;-11,508;72851;0;0;0;0;0;1352;0,9;75
1;11;13;to;-13,9;1;78,3;-11,508;72618;0;0;0;0;0;1352;0,9;75
1;11;14;to;-13,9;1;78,3;-11,508;72413;0;0;0;0;0;1352;0,9;75
1;11;15;to;-13,9;1;78,3;-11,508;72359;0;0;0;0;0;1352;0,9;75
1;11;16;to;-13,9;1;78,3;-11,508;72273;0;0;0;0;0;1352;0,9;75
1;11;17;to;-13,3;1;74,5;-10,903;71272;0;0;0;0;0;1352;0,9;75
1;11;18;to;-13,3;1;74,5;-10,903;71104;0;0;0;0;0;1352;0,9;75
1;11;19;to;-13,3;1,1;81,9;-10,656;71114;0;0;0;0;0;1352;0,9;75
1;11;20;to;-13,3;1;74,5;-10,903;71058;0;0;0;0;0;1352;0,9;75
1;11;21;to;-13,9;1;78,3;-11,508;72012;0;0;0;0;0;1352;0,9;75
1;11;22;to;-13,9;1;78,3;-11,508;72066;0;0;0;0;0;1352;0,9;75
1;11;23;to;-13,9;1;78,3;-11,508;72032;0;0;0;0;0;1352;0,9;75
1;11;24;to;-14,4;0,9;73,4;-12,259;72941;0;0;0;0;0;1352;0,9;75
1;12;1;pe;-14,4;0,9;73,4;-12,259;72931;0;0;0;0;0;1352;0,9;75
1;12;2;pe;-14,4;0,9;73,4;-12,259;72906;0;0;0;0;0;1352;0,9;75
1;12;3;pe;-15;0,9;77,2;-12,864;59612;0;0;0;0;0;792;0,6;50
1;12;4;pe;-17,2;0,7;72,4;-15,575;62623;0;0;0;0;0;792;0,6;50
1;12;5;pe;-19,4;0,6;75,1;-18,037;65813;0;0;0;0;0;792;0,6;50
1;12;6;pe;-21,7;0,5;76,7;-20,6;69217;0;0;0;0;0;792;0,6;50
1;12;7;pe;-22,8;0,4;67,8;-21,953;71172;0;0;0;0;0;792;0,6;50
1;12;8;pe;-23,3;0,4;70,9;-22,457;72284;0;0;0;0;0;792;0,6;50
1;12;9;pe;-24,4;0,3;58,8;-23,81;74088;0;0;0;0;0;792;0,6;50
1;12;10;pe;-25,6;0,3;65,7;-25,018;75869;0;0;0;0;0;792;0,6;50
1;12;11;pe;-26,1;0,3;68,8;-25,521;77083;0;0;0;0;0;792;0,6;50
1;12;12;pe;-27,2;0,3;76,4;-26,628;78758;0;0;0;0;0;792;0,6;50
1;12;13;pe;-27,8;0,2;53,9;-27,477;79930;0;0;0;0;0;792;0,6;50
1;12;14;pe;-28,3;0,2;56,5;-27,98;81060;0;0;0;0;0;792;0,6;50
1;12;15;pe;-28,9;0,2;59,9;-28,584;82331;0;0;0;0;0;792;0,6;50
1;12;16;pe;-30;0,2;66,6;-29,691;84066;0;0;0;0;0;792;0,6;50
1;12;17;pe;-30,6;0,2;70,5;-30,295;85370;0;0;0;0;0;792;0,6;50
1;12;18;pe;-30;0,2;66,6;-29,691;85012;0;0;0;0;0;792;0,6;50
1;12;19;pe;-28,9;0,2;59,9;-28,584;83819;0;0;0;0;0;792;0,6;50
1;12;20;pe;-28,3;0,2;56,5;-27,98;83227;0;0;0;0;0;792;0,6;50
1;12;21;pe;-27,2;0,3;76,4;-26,628;81949;0;0;0;0;0;792;0,6;50
1;12;22;pe;-26,1;0,3;68,8;-25,521;80584;0;0;0;0;0;792;0,6;50
1;12;23;pe;-25;0,3;62,1;-24,414;79192;0;0;0;0;0;792;0,6;50
1;12;24;pe;-23,9;0,4;74,9;-23,061;77749;0;0;0;0;0;792;0,6;50
